"PSShowComputerName","InstalledOn","Caption","Description","InstallDate","Name","Status","CSName","FixComments","HotFixID","InstalledBy","ServicePackInEffect","PSComputerName"
"True","06/10/2021 00:00:00","https://support.microsoft.com/help/5003791","Update",,,,"MENONW10W","","KB5003791","","","localhost"
"True","06/10/2021 00:00:00","","Security Update",,,,"MENONW10W","","KB5005699","","","localhost"
"True","06/10/2021 00:00:00","http://support.microsoft.com/?kbid=5004331","Update",,,,"MENONW10W","","KB5004331","","","localhost"
"True","12/05/2022 00:00:00","https://support.microsoft.com/help/4562830","Update",,,,"MENONW10W","","KB4562830","AUTORIDADE NT\SISTEMA","","localhost"
"True","12/05/2022 00:00:00","","Security Update",,,,"MENONW10W","","KB5014032","AUTORIDADE NT\SISTEMA","","localhost"
"True","12/05/2022 00:00:00","https://support.microsoft.com/help/5007401","Update",,,,"MENONW10W","","KB5007401","AUTORIDADE NT\SISTEMA","","localhost"
"True","26/06/2022 00:00:00","","Update",,,,"MENONW10W","","KB5014035","AUTORIDADE NT\SISTEMA","","localhost"
"True","24/07/2022 00:00:00","","Update",,,,"MENONW10W","","KB5014671","AUTORIDADE NT\SISTEMA","","localhost"
"True","21/08/2022 00:00:00","https://support.microsoft.com/help/5012170","Security Update",,,,"MENONW10W","","KB5012170","AUTORIDADE NT\SISTEMA","","localhost"
"True","21/08/2022 00:00:00","","Update",,,,"MENONW10W","","KB5015895","AUTORIDADE NT\SISTEMA","","localhost"
"True","25/09/2022 00:00:00","","Update",,,,"MENONW10W","","KB5016705","AUTORIDADE NT\SISTEMA","","localhost"
"True","20/11/2022 00:00:00","","Update",,,,"MENONW10W","","KB5018506","AUTORIDADE NT\SISTEMA","","localhost"
"True","25/12/2022 00:00:00","","Update",,,,"MENONW10W","","KB5020372","AUTORIDADE NT\SISTEMA","","localhost"
"True","26/03/2023 00:00:00","","Update",,,,"MENONW10W","","KB5022924","AUTORIDADE NT\SISTEMA","","localhost"
"True","23/04/2023 00:00:00","","Update",,,,"MENONW10W","","KB5023794","AUTORIDADE NT\SISTEMA","","localhost"
"True","21/05/2023 00:00:00","","Update",,,,"MENONW10W","","KB5025315","AUTORIDADE NT\SISTEMA","","localhost"
"True","25/06/2023 00:00:00","","Update",,,,"MENONW10W","","KB5026879","AUTORIDADE NT\SISTEMA","","localhost"
"True","27/06/2023 00:00:00","https://support.microsoft.com/help/5027215","Security Update",,,,"MENONW10W","","KB5027215","AUTORIDADE NT\SISTEMA","","localhost"
